calendar_year,city,state,closed_date,amount_awarded
2011.0,Philadelphia,PA,2011-09-07,7500.0
2011.0,Philadelphia,PA,2011-09-07,97500.0
2011.0,Philadelphia,PA,2011-09-12,100000.0
2011.0,Philadelphia,PA,2011-09-12,7000.0
2011.0,Philadelphia,PA,2011-09-12,7500.0
2011.0,Philadelphia,PA,2011-09-12,62500.0
2011.0,Philadelphia,PA,2011-09-16,25000.0
2011.0,Philadelphia,PA,2011-09-21,25000.0
2011.0,Philadelphia,PA,2011-09-30,175000.0
2011.0,Philadelphia,PA,2011-09-30,26500.0
2011.0,Philadelphia,PA,2011-10-06,10000.0
2011.0,Philadelphia,PA,2011-10-07,2500.0
2011.0,Philadelphia,PA,2011-10-13,5000.0
2011.0,Philadelphia,PA,2011-10-14,760000.0
2011.0,Philadelphia,PA,2011-10-19,15000.0
2011.0,Philadelphia,PA,2011-10-24,20000.0
2011.0,Philadelphia,PA,2011-10-25,26000.0
2011.0,Philadelphia,PA,2011-10-26,10000.0
2011.0,Philadelphia,PA,2011-11-01,125000.0
2011.0,Philadelphia,PA,2011-11-02,800000.0
2011.0,Philadelphia,PA,2011-11-03,20000.0
2011.0,Philadelphia,PA,2011-11-03,25000.0
2011.0,Philadelphia,PA,2011-11-23,275000.0
2011.0,Philadelphia,PA,2011-12-05,8000.0
2011.0,Philadelphia,PA,2011-12-05,225000.0
2011.0,Philadelphia,PA,2011-12-06,10000.0
2011.0,Philadelphia,PA,2011-12-07,30000.0
2011.0,Philadelphia,PA,2011-12-09,20000.0
2011.0,Philadelphia,PA,2011-12-13,62000.0
2011.0,Philadelphia,PA,2011-12-13,40000.0
2011.0,Philadelphia,PA,2011-12-15,25000.0
2011.0,Philadelphia,PA,2011-12-15,29500.0
2011.0,Philadelphia,PA,2011-12-26,25000.0
2012.0,Philadelphia,PA,2012-01-01,39000.0
2012.0,Philadelphia,PA,2012-01-05,62500.0
2012.0,Philadelphia,PA,2012-01-06,75000.0
2012.0,Philadelphia,PA,2012-01-06,18000.0
2012.0,Philadelphia,PA,2012-01-09,67500.0
2012.0,Philadelphia,PA,2012-01-09,61312.6
2012.0,Philadelphia,PA,2012-01-11,12500.0
2012.0,Philadelphia,PA,2012-01-12,8500.0
2012.0,Philadelphia,PA,2012-01-18,125000.0
2012.0,Philadelphia,PA,2012-01-18,55000.0
2012.0,Philadelphia,PA,2012-01-18,30000.0
2012.0,Philadelphia,PA,2012-01-24,57000.0
2012.0,Philadelphia,PA,2012-01-24,20000.0
2012.0,Philadelphia,PA,2012-01-24,10000.0
2012.0,Philadelphia,PA,2012-01-25,70000.0
2012.0,Philadelphia,PA,2012-01-25,50000.0
2012.0,Philadelphia,PA,2012-01-25,45000.0
2012.0,Philadelphia,PA,2012-01-25,34000.0
2012.0,Philadelphia,PA,2012-01-25,80000.0
2012.0,Philadelphia,PA,2012-01-25,81000.0
2012.0,Philadelphia,PA,2012-01-25,81000.0
2012.0,Philadelphia,PA,2012-01-25,34000.0
2012.0,Philadelphia,PA,2012-01-25,33000.0
2012.0,Philadelphia,PA,2012-01-25,92000.0
2012.0,Philadelphia,PA,2012-01-30,65000.0
2012.0,Philadelphia,PA,2012-01-30,2250.0
2012.0,Philadelphia,PA,2012-01-30,12500.0
2012.0,Philadelphia,PA,2012-02-02,95000.0
2012.0,Philadelphia,PA,2012-02-03,25000.0
2012.0,Philadelphia,PA,2012-02-05,12500.0
2012.0,Philadelphia,PA,2012-02-08,15000.0
2012.0,Philadelphia,PA,2012-02-13,25000.0
2012.0,Philadelphia,PA,2012-02-15,50000.0
2012.0,Philadelphia,PA,2012-02-17,105000.0
2012.0,Philadelphia,PA,2012-02-21,30000.0
2012.0,Philadelphia,PA,2012-02-22,25000.0
2012.0,Philadelphia,PA,2012-02-24,45000.0
2012.0,Philadelphia,PA,2012-02-24,40000.0
2012.0,Philadelphia,PA,2012-03-01,60000.0
2012.0,Philadelphia,PA,2012-03-02,30000.0
2012.0,Philadelphia,PA,2012-03-04,50000.0
2012.0,Philadelphia,PA,2012-03-05,42000.0
2012.0,Philadelphia,PA,2012-03-06,7500.0
2012.0,Philadelphia,PA,2012-03-06,29500.0
2012.0,Philadelphia,PA,2012-03-08,10000.0
2012.0,Philadelphia,PA,2012-03-08,35000.0
2012.0,Philadelphia,PA,2012-03-09,75000.0
2012.0,Philadelphia,PA,2012-03-16,27500.0
2012.0,Philadelphia,PA,2012-03-16,29000.0
2012.0,Philadelphia,PA,2012-03-17,5000.0
2012.0,Philadelphia,PA,2012-03-21,18000.0
2012.0,Philadelphia,PA,2012-03-22,52500.0
2012.0,Philadelphia,PA,2012-03-23,3500.0
2012.0,Philadelphia,PA,2012-03-28,25000.0
2012.0,Philadelphia,PA,2012-04-01,450000.0
2012.0,Philadelphia,PA,2012-04-01,50000.0
2012.0,Philadelphia,PA,2012-04-09,400000.0
2012.0,Philadelphia,PA,2012-04-10,25000.0
2012.0,Philadelphia,PA,2012-04-10,18500.0
2012.0,Philadelphia,PA,2012-04-12,32000.0
2012.0,Philadelphia,PA,2012-04-12,32000.0
2012.0,Philadelphia,PA,2012-04-12,1500.0
2012.0,Philadelphia,PA,2012-04-12,11000.0
2012.0,Philadelphia,PA,2012-04-17,95000.0
2012.0,Philadelphia,PA,2012-04-18,2500.0
2012.0,Philadelphia,PA,2012-04-20,16895.55
2012.0,Philadelphia,PA,2012-04-24,40000.0
2012.0,Philadelphia,PA,2012-05-01,7500.0
2012.0,Philadelphia,PA,2012-05-02,96000.0
2012.0,Philadelphia,PA,2012-05-02,100.0
2012.0,Philadelphia,PA,2012-05-02,65000.0
2012.0,Philadelphia,PA,2012-05-02,12500.0
2012.0,Philadelphia,PA,2012-05-03,37500.0
2012.0,Philadelphia,PA,2012-05-07,150000.0
2012.0,Philadelphia,PA,2012-05-07,55000.0
2012.0,Philadelphia,PA,2012-05-10,7500.0
2012.0,Philadelphia,PA,2012-05-11,27500.0
2012.0,Philadelphia,PA,2012-05-15,10000.0
2012.0,Philadelphia,PA,2012-05-16,92000.0
2012.0,Philadelphia,PA,2012-05-17,95000.0
2012.0,Philadelphia,PA,2012-05-25,15000.0
2012.0,Philadelphia,PA,2012-05-30,10000.0
2012.0,Philadelphia,PA,2012-05-31,25000.0
2012.0,Philadelphia,PA,2012-06-01,25000.0
2012.0,Philadelphia,PA,2012-06-07,27500.0
2012.0,Philadelphia,PA,2012-06-12,35000.0
2012.0,Philadelphia,PA,2012-06-18,20000.0
2012.0,Philadelphia,PA,2012-06-25,12500.0
2012.0,Philadelphia,PA,2012-06-27,75000.0
2012.0,Philadelphia,PA,2012-07-02,4000.0
2012.0,Philadelphia,PA,2012-07-05,85000.0
2012.0,Philadelphia,PA,2012-07-05,77500.0
2012.0,Philadelphia,PA,2012-07-05,7500.0
2012.0,Philadelphia,PA,2012-07-05,45000.0
2012.0,Philadelphia,PA,2012-07-12,20000.0
2012.0,Philadelphia,PA,2012-07-24,35000.0
2012.0,Philadelphia,PA,2012-07-30,670.14
2012.0,Philadelphia,PA,2012-07-31,20000.0
2012.0,Philadelphia,PA,2012-08-01,6500.0
2012.0,Philadelphia,PA,2012-08-01,50000.0
2012.0,Philadelphia,PA,2012-08-01,16000.0
2012.0,Philadelphia,PA,2012-08-01,240000.0
2012.0,Philadelphia,PA,2012-08-02,72500.0
2012.0,Philadelphia,PA,2012-08-07,43750.0
2012.0,Philadelphia,PA,2012-08-08,22500.0
2012.0,Philadelphia,PA,2012-08-08,2500.0
2012.0,Philadelphia,PA,2012-08-08,45000.0
2012.0,Philadelphia,PA,2012-08-09,3000.0
2012.0,Philadelphia,PA,2012-08-10,52500.0
2012.0,Philadelphia,PA,2012-08-10,6253.0
2012.0,Philadelphia,PA,2012-08-15,55000.0
2012.0,Philadelphia,PA,2012-08-15,2500.0
2012.0,Philadelphia,PA,2012-08-20,8000.0
2012.0,Philadelphia,PA,2012-08-20,65000.0
2012.0,Philadelphia,PA,2012-08-27,1500.0
2012.0,Philadelphia,PA,2012-08-27,1560.0
2012.0,Philadelphia,PA,2012-09-05,75000.0
2012.0,Philadelphia,PA,2012-09-11,1500.0
2012.0,Philadelphia,PA,2012-09-12,24000.0
2012.0,Philadelphia,PA,2012-09-17,5000.0
2012.0,Philadelphia,PA,2012-09-20,12500.0
2012.0,Philadelphia,PA,2012-09-20,99000.0
2012.0,Philadelphia,PA,2012-09-20,10000.0
2012.0,Philadelphia,PA,2012-09-24,15000.0
2012.0,Philadelphia,PA,2012-09-26,20000.0
2012.0,Philadelphia,PA,2012-09-28,70000.0
2012.0,Philadelphia,PA,2012-10-03,75000.0
2012.0,Philadelphia,PA,2012-10-05,25000.0
2012.0,Philadelphia,PA,2012-10-05,71000.0
2012.0,Philadelphia,PA,2012-10-09,15000.0
2012.0,Philadelphia,PA,2012-10-10,20000.0
2012.0,Philadelphia,PA,2012-10-15,20000.0
2012.0,Philadelphia,PA,2012-10-19,10000.0
2012.0,Philadelphia,PA,2012-10-21,7850.0
2012.0,Philadelphia,PA,2012-10-22,35000.0
2012.0,Philadelphia,PA,2012-10-22,30000.0
2012.0,Philadelphia,PA,2012-10-23,55000.0
2012.0,Philadelphia,PA,2012-10-25,15000.0
2012.0,Philadelphia,PA,2012-11-02,1500000.0
2012.0,Philadelphia,PA,2012-11-05,10000.0
2012.0,Philadelphia,PA,2012-11-07,15000.0
2012.0,Philadelphia,PA,2012-11-09,9500.0
2012.0,Philadelphia,PA,2012-11-19,10000.0
2012.0,Philadelphia,PA,2012-11-21,7500.0
2012.0,Philadelphia,PA,2012-11-23,7500.0
2012.0,Philadelphia,PA,2012-11-26,25000.0
2012.0,Philadelphia,PA,2012-11-27,46000.0
2012.0,Philadelphia,PA,2012-11-28,65000.0
2012.0,Philadelphia,PA,2012-11-29,15000.0
2012.0,Philadelphia,PA,2012-12-15,392500.0
2012.0,Philadelphia,PA,2012-12-17,85000.0
2012.0,Philadelphia,PA,2012-12-19,15000.0
2012.0,Philadelphia,PA,2012-12-28,50000.0
